event_id,user_id,event_date,year,month,event_name,event_type,predicted_expense,is_recurring
EVT00001,U001,2020-01-01,2020,1,Rent Payment,Bill,16608.758240637835,True
EVT00002,U001,2020-01-05,2020,1,Utility Bills,Bill,3730.4304646443616,True
EVT00003,U001,2020-01-10,2020,1,Credit Card Payment,Bill,11644.710731171046,True
EVT00004,U001,2020-01-11,2020,1,Professional Course,Education,5665.041862924468,False
EVT00005,U001,2020-01-12,2020,1,Wedding,Celebration,18809.814174863706,False
EVT00006,U001,2020-01-17,2020,1,Festival Shopping,Shopping,18650.002062435065,False
EVT00007,U001,2020-01-19,2020,1,Certification Exam,Education,10770.970124445686,False
EVT00008,U001,2020-01-21,2020,1,Home Repairs,Maintenance,6341.868029015438,False
EVT00009,U001,2020-01-22,2020,1,Friend's Birthday,Celebration,2331.936831114037,False
EVT00010,U001,2020-02-01,2020,2,Rent Payment,Bill,12192.653222860297,True
EVT00011,U001,2020-02-05,2020,2,Utility Bills,Bill,3142.3655324575034,True
EVT00012,U001,2020-02-10,2020,2,Credit Card Payment,Bill,11851.950577627358,True
EVT00013,U001,2020-02-12,2020,2,Electronics Purchase,Shopping,49576.63311568458,False
EVT00014,U001,2020-02-23,2020,2,Weekend Trip,Travel,6588.303517811925,False
EVT00015,U001,2020-02-27,2020,2,Long Vacation,Travel,31487.237089744733,False
EVT00016,U001,2020-02-29,2020,2,Wedding,Celebration,16435.058634769353,False
EVT00017,U001,2020-03-01,2020,3,Rent Payment,Bill,14689.80748211233,True
EVT00018,U001,2020-03-02,2020,3,Electronics Purchase,Shopping,39505.88495441985,False
EVT00019,U001,2020-03-03,2020,3,Doctor Appointment,Healthcare,2955.3064994073798,False
EVT00020,U001,2020-03-04,2020,3,Long Vacation,Travel,20169.294850332164,False
EVT00021,U001,2020-03-05,2020,3,Utility Bills,Bill,2712.002073488194,True
EVT00022,U001,2020-03-05,2020,3,Friend's Birthday,Celebration,2870.0183974685283,False
EVT00023,U001,2020-03-10,2020,3,Credit Card Payment,Bill,14533.082469130382,True
EVT00024,U001,2020-03-15,2020,3,Insurance Premium,Bill,10536.973045121598,True
EVT00025,U001,2020-04-01,2020,4,Rent Payment,Bill,14774.391745097093,True
EVT00026,U001,2020-04-01,2020,4,Annual Tax Filing,Financial,7683.126268119811,True
EVT00027,U001,2020-04-05,2020,4,Utility Bills,Bill,4296.300109361197,True
EVT00028,U001,2020-04-05,2020,4,Wedding,Celebration,21242.300118748874,False
EVT00029,U001,2020-04-10,2020,4,Credit Card Payment,Bill,7009.060365812182,True
EVT00030,U001,2020-04-11,2020,4,Certification Exam,Education,7988.448977931472,False
EVT00031,U001,2020-04-14,2020,4,Certification Exam,Education,10370.486804081464,False
EVT00032,U001,2020-04-15,2020,4,Weekend Trip,Travel,7171.268020085501,False
EVT00033,U001,2020-05-01,2020,5,Rent Payment,Bill,18381.56236495735,True
EVT00034,U001,2020-05-05,2020,5,Utility Bills,Bill,2246.2232568529585,True
