group_expense_id,user_id,date,year,month,expense_name,total_amount,user_share,participants_count,weight,paid_status,payer
GRP00001,U001,2020-01-17,2020,1,Birthday Party,4113.2,734.49,5,0.81,Paid,U004
GRP00001,U002,2020-01-17,2020,1,Birthday Party,4113.2,975.3,5,1.08,Paid,U002
GRP00001,U003,2020-01-17,2020,1,Birthday Party,4113.2,740.27,5,0.82,Paid,U002
GRP00001,U005,2020-01-17,2020,1,Birthday Party,4113.2,877.19,5,0.97,Paid,U004
GRP00001,U004,2020-01-17,2020,1,Birthday Party,4113.2,785.95,5,0.87,Paid,U005
GRP00002,U001,2020-01-27,2020,1,House Groceries Split,4011.74,1503.27,3,1.08,Paid,U001
GRP00002,U002,2020-01-27,2020,1,House Groceries Split,4011.74,1332.83,3,0.96,Paid,U002
GRP00002,U004,2020-01-27,2020,1,House Groceries Split,4011.74,1175.65,3,0.85,Paid,U001
GRP00003,U001,2020-03-02,2020,3,Office Team Lunch,3996.43,734.21,5,0.95,Pending,U004
GRP00003,U002,2020-03-02,2020,3,Office Team Lunch,3996.43,816.55,5,1.06,Paid,U005
GRP00003,U005,2020-03-02,2020,3,Office Team Lunch,3996.43,729.22,5,0.94,Paid,U005
GRP00003,U003,2020-03-02,2020,3,Office Team Lunch,3996.43,850.54,5,1.1,Pending,U001
GRP00003,U004,2020-03-02,2020,3,Office Team Lunch,3996.43,865.91,5,1.12,Pending,U001
GRP00004,U001,2020-03-13,2020,3,Birthday Party,5611.88,1086.79,5,1.07,Paid,U001
GRP00004,U005,2020-03-13,2020,3,Birthday Party,5611.88,1137.93,5,1.12,Paid,U005
GRP00004,U003,2020-03-13,2020,3,Birthday Party,5611.88,1161.87,5,1.15,Pending,U002
GRP00004,U002,2020-03-13,2020,3,Birthday Party,5611.88,1068.54,5,1.06,Paid,U004
GRP00004,U004,2020-03-13,2020,3,Birthday Party,5611.88,1156.75,5,1.14,Paid,U003
GRP00005,U001,2020-03-20,2020,3,Vacation Package,21709.68,5779.62,4,1.15,Pending,U002
GRP00005,U004,2020-03-20,2020,3,Vacation Package,21709.68,5409.53,4,1.08,Paid,U002
GRP00005,U003,2020-03-20,2020,3,Vacation Package,21709.68,4544.73,4,0.9,Paid,U004
GRP00005,U002,2020-03-20,2020,3,Vacation Package,21709.68,5975.8,4,1.19,Paid,U003
GRP00006,U001,2020-03-28,2020,3,Office Team Lunch,2535.6,528.41,5,1.08,Paid,U002
GRP00006,U004,2020-03-28,2020,3,Office Team Lunch,2535.6,419.86,5,0.86,Pending,U003
GRP00006,U005,2020-03-28,2020,3,Office Team Lunch,2535.6,555.67,5,1.13,Paid,U002
GRP00006,U003,2020-03-28,2020,3,Office Team Lunch,2535.6,483.87,5,0.99,Pending,U001
GRP00006,U002,2020-03-28,2020,3,Office Team Lunch,2535.6,547.79,5,1.12,Pending,U002
GRP00007,U001,2020-04-10,2020,4,Weekend Movie,2410.21,674.18,4,1.17,Paid,U002
GRP00007,U002,2020-04-10,2020,4,Weekend Movie,2410.21,607.58,4,1.06,Paid,U004
GRP00007,U005,2020-04-10,2020,4,Weekend Movie,2410.21,541.4,4,0.94,Paid,U002
GRP00007,U004,2020-04-10,2020,4,Weekend Movie,2410.21,587.05,4,1.02,Paid,U002
GRP00008,U001,2020-04-11,2020,4,Office Team Lunch,2747.7,536.1,5,0.94,Paid,U001
GRP00008,U004,2020-04-11,2020,4,Office Team Lunch,2747.7,562.36,5,0.98,Paid,U005
GRP00008,U002,2020-04-11,2020,4,Office Team Lunch,2747.7,624.64,5,1.09,Paid,U004
GRP00008,U003,2020-04-11,2020,4,Office Team Lunch,2747.7,542.71,5,0.95,Pending,U003
GRP00008,U005,2020-04-11,2020,4,Office Team Lunch,2747.7,481.88,5,0.84,Paid,U003
GRP00009,U001,2020-04-12,2020,4,Birthday Party,3259.19,683.29,5,0.99,Paid,U002
GRP00009,U005,2020-04-12,2020,4,Birthday Party,3259.19,564.41,5,0.81,Paid,U003
GRP00009,U004,2020-04-12,2020,4,Birthday Party,3259.19,606.4,5,0.88,Paid,U001
GRP00009,U002,2020-04-12,2020,4,Birthday Party,3259.19,750.64,5,1.08,Paid,U004
GRP00009,U003,2020-04-12,2020,4,Birthday Party,3259.19,654.45,5,0.94,Paid,U005
GRP00010,U001,2020-04-14,2020,4,Shared Uber,405.58,191.41,2,0.86,Paid,U005
GRP00010,U005,2020-04-14,2020,4,Shared Uber,405.58,214.16,2,0.96,Paid,U001
GRP00011,U001,2020-05-12,2020,5,Vacation Package,48962.99,9572.41,4,0.82,Paid,U004
GRP00011,U003,2020-05-12,2020,5,Vacation Package,48962.99,13923.56,4,1.19,Paid,U003
GRP00011,U004,2020-05-12,2020,5,Vacation Package,48962.99,12952.22,4,1.11,Paid,U004
GRP00011,U002,2020-05-12,2020,5,Vacation Package,48962.99,12514.8,4,1.07,Paid,U004
GRP00012,U001,2020-05-30,2020,5,House Groceries Split,3977.72,1266.17,3,1.08,Paid,U003
GRP00012,U002,2020-05-30,2020,5,House Groceries Split,3977.72,1391.81,3,1.18,Paid,U003
GRP00012,U003,2020-05-30,2020,5,House Groceries Split,3977.72,1319.74,3,1.12,Pending,U002
GRP00013,U001,2020-07-11,2020,7,Roommates Dinner,3747.91,1169.9,3,0.82,Paid,U003
GRP00013,U003,2020-07-11,2020,7,Roommates Dinner,3747.91,1165.27,3,0.82,Paid,U003
GRP00013,U004,2020-07-11,2020,7,Roommates Dinner,3747.91,1412.74,3,0.99,Paid,U004
GRP00014,U001,2020-07-24,2020,7,Shared Uber,326.72,178.17,2,1.2,Paid,U001
GRP00014,U004,2020-07-24,2020,7,Shared Uber,326.72,148.55,2,1.0,Paid,U001
GRP00015,U001,2020-08-01,2020,8,Birthday Party,7358.16,1250.36,5,0.82,Paid,U002
GRP00015,U004,2020-08-01,2020,8,Birthday Party,7358.16,1755.25,5,1.15,Pending,U004
GRP00015,U005,2020-08-01,2020,8,Birthday Party,7358.16,1730.71,5,1.14,Paid,U004
GRP00015,U003,2020-08-01,2020,8,Birthday Party,7358.16,1311.98,5,0.86,Pending,U001
GRP00015,U002,2020-08-01,2020,8,Birthday Party,7358.16,1309.85,5,0.86,Paid,U005
GRP00016,U001,2020-08-15,2020,8,Roommates Dinner,2998.69,906.22,3,0.91,Paid,U001
GRP00016,U005,2020-08-15,2020,8,Roommates Dinner,2998.69,1099.29,3,1.11,Paid,U002
GRP00016,U002,2020-08-15,2020,8,Roommates Dinner,2998.69,993.17,3,1.0,Pending,U001
GRP00017,U001,2020-08-17,2020,8,House Groceries Split,2414.36,837.96,3,0.94,Paid,U002
GRP00017,U002,2020-08-17,2020,8,House Groceries Split,2414.36,832.58,3,0.94,Paid,U004
GRP00017,U004,2020-08-17,2020,8,House Groceries Split,2414.36,743.82,3,0.84,Paid,U004
GRP00018,U001,2020-09-13,2020,9,Concert Tickets,3790.12,1105.9,3,0.85,Pending,U004
GRP00018,U004,2020-09-13,2020,9,Concert Tickets,3790.12,1519.96,3,1.17,Pending,U001
GRP00018,U002,2020-09-13,2020,9,Concert Tickets,3790.12,1164.26,3,0.89,Paid,U004
GRP00019,U001,2020-10-05,2020,10,Vacation Package,27561.79,6689.56,4,0.91,Paid,U004
GRP00019,U005,2020-10-05,2020,10,Vacation Package,27561.79,7783.04,4,1.06,Paid,U004
GRP00019,U004,2020-10-05,2020,10,Vacation Package,27561.79,7131.68,4,0.98,Pending,U001
GRP00019,U003,2020-10-05,2020,10,Vacation Package,27561.79,5957.52,4,0.81,Paid,U003
GRP00020,U001,2020-12-04,2020,12,Office Team Lunch,3200.55,562.07,5,0.84,Paid,U001
GRP00020,U004,2020-12-04,2020,12,Office Team Lunch,3200.55,715.4,5,1.07,Paid,U005
GRP00020,U002,2020-12-04,2020,12,Office Team Lunch,3200.55,572.44,5,0.86,Paid,U001
