transaction_id,user_id,date,year,month,amount,category,transaction_type,description,payment_method,is_recurring,merchant
TXN000001,U001,2020-01-01,2020,1,55000.0,Salary,credit,Monthly Salary Credit,Bank Transfer,True,Employer
TXN000002,U001,2020-01-01,2020,1,916.37,Dining,debit,Cafe,Credit Card,False,Cafe
TXN000003,U001,2020-01-01,2020,1,1595.15,Utilities,debit,DTH Recharge,Credit Card,True,DTH Recharge
TXN000004,U001,2020-01-01,2020,1,1726.47,Transport,debit,Petrol,Debit Card,False,Parking
TXN000005,U001,2020-01-02,2020,1,1282.38,Groceries,debit,Reliance Fresh,UPI,False,BigBasket
TXN000006,U001,2020-01-03,2020,1,1086.55,Groceries,debit,More Supermarket,Cash,False,More Supermarket
TXN000007,U001,2020-01-03,2020,1,1771.92,Dining,debit,Cafe,Credit Card,False,Local Restaurant
TXN000008,U001,2020-01-03,2020,1,1198.16,Transport,debit,Petrol,Debit Card,False,Petrol
TXN000009,U001,2020-01-05,2020,1,2436.25,Dining,debit,Swiggy,Debit Card,False,Cafe
TXN000010,U001,2020-01-05,2020,1,12685.99,Investment,debit,PPF,Bank Transfer,True,PPF
TXN000011,U001,2020-01-05,2020,1,6115.52,Investment,debit,PPF,Bank Transfer,True,PPF
TXN000012,U001,2020-01-05,2020,1,6581.58,Investment,debit,PPF,Bank Transfer,True,PPF
TXN000013,U001,2020-01-05,2020,1,14662.66,Investment,debit,Gold ETF,Bank Transfer,False,Gold ETF
TXN000014,U001,2020-01-07,2020,1,2298.39,Groceries,debit,More Supermarket,Debit Card,False,BigBasket
TXN000015,U001,2020-01-07,2020,1,1254.43,Dining,debit,Cafe,Cash,False,Swiggy
TXN000016,U001,2020-01-08,2020,1,2173.77,Dining,debit,Local Restaurant,Cash,False,Swiggy
TXN000017,U001,2020-01-08,2020,1,823.68,Entertainment,debit,Gaming,Debit Card,False,BookMyShow
TXN000018,U001,2020-01-08,2020,1,972.86,Transport,debit,Metro Card,Debit Card,False,Parking
TXN000019,U001,2020-01-09,2020,1,2299.69,Dining,debit,Swiggy,Credit Card,False,Swiggy
TXN000020,U001,2020-01-09,2020,1,1170.9,Transport,debit,Parking,Credit Card,False,Petrol
TXN000021,U001,2020-01-09,2020,1,672.35,Subscriptions,debit,Gym Membership,Debit Card,True,Magazine
TXN000022,U001,2020-01-10,2020,1,1384.21,Groceries,debit,Local Kirana,Credit Card,False,Local Kirana
TXN000023,U001,2020-01-10,2020,1,2707.39,Dining,debit,McDonald's,Cash,False,Zomato
TXN000024,U001,2020-01-10,2020,1,5086.96,Shopping,debit,Nike Store,Debit Card,False,Amazon
TXN000025,U001,2020-01-11,2020,1,1386.83,Groceries,debit,DMart,Credit Card,False,Reliance Fresh
TXN000026,U001,2020-01-11,2020,1,2604.17,Dining,debit,Domino's,UPI,False,Zomato
TXN000027,U001,2020-01-11,2020,1,20075.07,Rent,debit,Monthly Rent,Credit Card,True,Monthly Rent
TXN000028,U001,2020-01-12,2020,1,1271.27,Groceries,debit,Local Kirana,UPI,False,Reliance Fresh
TXN000029,U001,2020-01-12,2020,1,2190.35,Transport,debit,Metro Card,UPI,False,Auto
TXN000030,U001,2020-01-13,2020,1,2634.39,Groceries,debit,BigBasket,Credit Card,False,Local Kirana
TXN000031,U001,2020-01-13,2020,1,3248.99,Travel,debit,Indian Railways,Debit Card,False,IndiGo
TXN000032,U001,2020-01-13,2020,1,1882.13,Utilities,debit,Internet Bill,Credit Card,True,Mobile Recharge
TXN000033,U001,2020-01-13,2020,1,3758.01,Shopping,debit,Amazon,UPI,False,Flipkart
TXN000034,U001,2020-01-15,2020,1,1378.36,Groceries,debit,Local Kirana,Credit Card,False,Local Kirana
TXN000035,U001,2020-01-15,2020,1,2818.57,Dining,debit,Domino's,Debit Card,False,Zomato
TXN000036,U001,2020-01-15,2020,1,3760.51,Travel,debit,Uber,UPI,False,Indian Railways
TXN000037,U001,2020-01-15,2020,1,3594.78,Shopping,debit,Myntra,Credit Card,False,Amazon
TXN000038,U001,2020-01-16,2020,1,2628.28,Groceries,debit,BigBasket,Cash,False,BigBasket
TXN000039,U001,2020-01-17,2020,1,1251.94,Transport,debit,Petrol,UPI,False,Auto
TXN000040,U001,2020-01-19,2020,1,834.47,Dining,debit,Local Restaurant,Credit Card,False,McDonald's
TXN000041,U001,2020-01-19,2020,1,1977.82,Transport,debit,Petrol,Cash,False,Metro Card
TXN000042,U001,2020-01-20,2020,1,3009.78,Groceries,debit,Local Kirana,UPI,False,Local Kirana
TXN000043,U001,2020-01-20,2020,1,966.77,Transport,debit,Parking,Debit Card,False,Auto
TXN000044,U001,2020-01-21,2020,1,781.1,Dining,debit,Zomato,Debit Card,False,Swiggy
TXN000045,U001,2020-01-21,2020,1,23448.54,Rent,debit,Monthly Rent,Credit Card,True,Monthly Rent
TXN000046,U001,2020-01-23,2020,1,955.11,Transport,debit,Auto,Cash,False,Auto
TXN000047,U001,2020-01-24,2020,1,2933.24,Groceries,debit,More Supermarket,Debit Card,False,BigBasket
TXN000048,U001,2020-01-24,2020,1,2478.57,Education,debit,Course Fee,Debit Card,False,Udemy
TXN000049,U001,2020-01-24,2020,1,1690.7,Transport,debit,Petrol,Debit Card,False,Auto
TXN000050,U001,2020-01-25,2020,1,1812.48,Dining,debit,Cafe,Debit Card,False,Swiggy
TXN000051,U001,2020-01-25,2020,1,4373.85,Shopping,debit,Amazon,UPI,False,Amazon
TXN000052,U001,2020-01-27,2020,1,2691.63,Groceries,debit,Local Kirana,Cash,False,More Supermarket
TXN000053,U001,2020-01-27,2020,1,2488.12,Dining,debit,Zomato,UPI,False,Domino's
TXN000054,U001,2020-01-27,2020,1,6413.99,Education,debit,Udemy,Cash,False,Books
TXN000055,U001,2020-01-28,2020,1,513.51,Transport,debit,Petrol,Debit Card,False,Metro Card
TXN000056,U001,2020-01-29,2020,1,607.73,Dining,debit,Zomato,UPI,False,Zomato
TXN000057,U001,2020-01-29,2020,1,922.56,Subscriptions,debit,Magazine,Debit Card,True,Gym Membership
TXN000058,U001,2020-01-30,2020,1,739.36,Dining,debit,Local Restaurant,Credit Card,False,Zomato
TXN000059,U001,2020-01-31,2020,1,11272.45,Investment,debit,Gold ETF,Bank Transfer,False,Gold ETF
TXN000060,U001,2020-02-01,2020,2,55000.0,Salary,credit,Monthly Salary Credit,Bank Transfer,True,Employer
TXN000061,U001,2020-02-01,2020,2,730.93,Dining,debit,McDonald's,Credit Card,False,Cafe
TXN000062,U001,2020-02-01,2020,2,1229.37,Shopping,debit,Myntra,Debit Card,False,Amazon
TXN000063,U001,2020-02-01,2020,2,1817.36,Transport,debit,Auto,Cash,False,Petrol
TXN000064,U001,2020-02-02,2020,2,3608.75,Education,debit,Course Fee,UPI,False,Course Fee
TXN000065,U001,2020-02-04,2020,2,1294.99,Groceries,debit,Reliance Fresh,Credit Card,False,Reliance Fresh
TXN000066,U001,2020-02-04,2020,2,9878.52,Travel,debit,IndiGo,Cash,False,Uber
TXN000067,U001,2020-02-04,2020,2,6632.07,Shopping,debit,Flipkart,Debit Card,False,Myntra
TXN000068,U001,2020-02-05,2020,2,2127.25,Dining,debit,Cafe,UPI,False,Local Restaurant
